drug_name,medical_condition,side_effects,rating,no_of_reviews,drug_classes
aczone,acne,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. aczone may cause methemoglobinemia (met-heem-oh glo-bin-ee-mee-a), a serious condition in which the amount of oxygen in your blood stream becomes dangerously low. stop using this medicine and call your doctor at once if you notice a blue or gray appearance of your lips, fingernails, or the inside of your mouth. call your doctor at once if you have: severe sore throat; unusual thoughts or behavior; a red blood cell disorder - back pain, pale or yellowed skin, dark colored urine, fever, confusion or weakness; pancreas problems - severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate; or severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. common aczone side effects may include: dry or peeling skin; oily skin; or redness where the medicine was applied.",7.4,227.0,topical acne agents
benzoyl peroxide,acne,"benzoyl peroxide topical can cause a rare but serious allergic reaction or severe skin irritation. these reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. stop using benzoyl peroxide and call your doctor at once if you have any of these side effects on the treated skin: severe itching or burning; severe stinging or redness; swelling; or peeling. common side effects of benzoyl peroxide topical may include: mild stinging or burning; itching or tingly feeling; skin dryness, peeling, or flaking; or redness or other irritation.",7.8,51.0,topical acne agents
differin,acne,"hives, itching; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. stop using this medicine and call your doctor at once if you have: skin redness, stinging, burning, or peeling after sun exposure. some side effects may occur during the first 4 weeks of using this medicine. these side effects should become less noticeable with continued use. common differin side effects may include: dry, red, or scaly skin; feeling of warmth and mild stinging or burning; peeling skin; or skin pain.",6.0,329.0,topical acne agents
epiduo,acne,"benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. stop using this medicine and get emergency medical help if you have: hives , itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat. epiduo may cause serious side effects. call your doctor at once if you have: severe redness or swelling of treated skin; severe burning or stinging; or severe dryness or other skin irritation. common epiduo side effects may include: dry or scaly skin; skin redness; or burning or stinging.",7.3,698.0,topical acne agents
adapalene,acne,"hives , itching; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. adapalene topical may cause serious side effects. stop using adapalene topical and call your doctor at once if you have: skin redness, stinging, burning, or peeling after sun exposure. some side effects may occur during the first 4 weeks of using this medicine. these side effects should become less noticeable with continued use. common side effects of adapalene topical may include: dry, red, or scaly skin; feeling of warmth and mild stinging or burning; peeling skin ; or skin pain.",6.3,499.0,topical acne agents
cephalexin,acne,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. common cephalexin side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.",8.4,8.0,first generation cephalosporins
doryx,acne,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: incidence not known blistering, peeling, or loosening of the skin bloating chills clay-colored stools constipation cough dark urine decreased appetite diarrhea diarrhea, watery and severe, which may also be bloody difficulty with swallowing dizziness fast heartbeat feeling of discomfort fever headache hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue hives or welts, itching, or rash increased thirst indigestion inflammation of the joints joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of appetite nausea numbness or tingling of the face, hands, or feet pain in the stomach, side, or abdomen, possibly radiating to the back red skin lesions, often with a purple center redness and soreness of the eyes redness of the skin sore throat sores, ulcers, or white spots in the mouth or on the lips stomach cramps stomach pain or tenderness swelling of the feet or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tightness in the chest unusual tiredness or weakness unusual weight loss vomiting yellow eyes or skin some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: incidence not known back, leg, or stomach pains black, tarry stools bleeding gums blood in the urine or stools blurred vision bulging soft spot on the head of an infant change in the ability to see colors, especially blue or yellow chest pain, discomfort, or burning cracks in the skin decrease in vision difficulty breathing discoloration of the thyroid glands double vision general body swelling heartburn increased sensitivity of the skin to sunlight loss of heat from the body lower back or side pain nosebleeds pain or burning in the throat pain with swallowing painful or difficult urination pale skin pinpoint red spots on the skin rash with flat lesions or small raised lesions on the skin red, swollen skin redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin severe nausea severe stomach pain severe sunburn tooth discoloration unusual bleeding or bruising vomiting blood other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. doryx side effects",7.5,57.0,"miscellaneous antimalarials, tetracyclines"
tetracycline,acne,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. call your doctor at once if you have: severe blistering, peeling, and red skin rash; fever, chills, body aches, flu symptoms; pale or yellowed skin, easy bruising or bleeding; any signs of a new infection. common tetracycline side effects may include: nausea, vomiting, diarrhea, upset stomach, loss of appetite; white patches or sores inside your mouth or on your lips; swollen tongue, black or ""hairy"" tongue, trouble swallowing; sores or swelling in your rectal or genital area; or vaginal itching or discharge.",6.3,55.0,tetracyclines
septra,acne,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); a skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the iv needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high potassium level - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low sodium level - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or low blood cell counts - fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. common septra side effects may include: nausea , vomiting, loss of appetite; or skin rash.",10.0,2.0,sulfonamides
solodyn,acne,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. call your doctor at once if you have: bronchospasm (wheezing, chest tightness, trouble breathing); a seizure; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; low blood cell counts - fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; increased pressure inside the skull - severe headaches, ringing in your ears, dizziness, vision problems, pain behind your eyes; or signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, loss of appetite, easy bruising or bleeding, dark urine, jaundice (yellowing of the skin or eyes). common solodyn side effects may include: numbness , tingling, burning pain; hair loss ; discoloration of you skin or nails. dizziness, spinning sensation; muscle or joint pain; nausea, diarrhea, loss of appetite; swollen tongue, cough, trouble swallowing; rash, itching; or headache .",6.9,99.0,tetracyclines
tazorac,acne,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. stop using tazorac and call your doctor at once if you have: severe skin irritation (pain, dryness, flaking, peeling, burning, stinging, itching) after applying the medicine; blistering or peeling skin ; severe redness or discomfort; or swelling, warmth, oozing, or other signs of skin infection . common tazorac side effects may include: dry, scaly, or peeling skin; skin pain, redness or burning; or itching or other irritation of treated skin.",8.0,30.0,"topical acne agents, topical antipsoriatics"
vibramycin,acne,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: incidence not known blistering, peeling, or loosening of the skin bloating chills clay-colored stools constipation cough dark urine decreased appetite diarrhea diarrhea, watery and severe, which may also be bloody difficulty with swallowing dizziness fast heartbeat feeling of discomfort fever headache hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue hives or welts, itching, or rash increased thirst indigestion inflammation of the joints joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of appetite nausea numbness or tingling of the face, hands, or feet pain in the stomach, side, or abdomen, possibly radiating to the back red skin lesions, often with a purple center redness and soreness of the eyes redness of the skin sore throat sores, ulcers, or white spots in the mouth or on the lips stomach cramps stomach pain or tenderness swelling of the feet or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tightness in the chest unusual tiredness or weakness unusual weight loss vomiting yellow eyes or skin some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: incidence not known back, leg, or stomach pains black, tarry stools bleeding gums blood in the urine or stools blurred vision bulging soft spot on the head of an infant change in the ability to see colors, especially blue or yellow chest pain, discomfort, or burning cracks in the skin decrease in vision difficulty breathing discoloration of the thyroid glands double vision general body swelling heartburn increased sensitivity of the skin to sunlight loss of heat from the body lower back or side pain nosebleeds pain or burning in the throat pain with swallowing painful or difficult urination pale skin pinpoint red spots on the skin rash with flat lesions or small raised lesions on the skin red, swollen skin redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin severe nausea severe stomach pain severe sunburn tooth discoloration unusual bleeding or bruising vomiting blood other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. vibramycin side effects",8.3,4.0,"miscellaneous antimalarials, tetracyclines"
acticlate,acne,"warning/caution: even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. chest pain or pressure or a fast heartbeat . not able to pass urine or change in how much urine is passed. fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. throat irritation. trouble swallowing. muscle or joint pain. fast breathing. flushing. very bad dizziness or passing out. change in skin color. swollen gland. vaginal itching or discharge. diarrhea is common with antibiotics . rarely, a severe form called c diff–associated diarrhea ( cdad ) may happen. sometimes, this has led to a deadly bowel problem ( colitis ). cdad may happen during or a few months after taking antibiotics. call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. check with your doctor before treating diarrhea. raised pressure in the brain has happened with acticlate (doxycycline tablets and capsules). most of the time, this will go back to normal after acticlate (doxycycline tablets and capsules) is stopped. sometimes, loss of eyesight may happen and may not go away even after acticlate (doxycycline tablets and capsules) is stopped. call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. acticlate side effects",5.7,8.0,tetracyclines
benzoyl peroxide / clindamycin,acne,"benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. these reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. stop using benzoyl peroxide and clindamycin topical and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. this medicine may cause serious side effects. stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or peeling of treated skin areas; or diarrhea that is watery or bloody. common side effects of benzoyl peroxide and clindamycin topical may include: mild burning or stinging; itching or tingly feeling; dryness or peeling of treated skin; or redness or other irritation.",7.6,570.0,topical acne agents
doxy 100,acne,"warning/caution: even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. chest pain or pressure or a fast heartbeat . not able to pass urine or change in how much urine is passed. fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. throat irritation. trouble swallowing. muscle or joint pain. fast breathing. flushing. very bad dizziness or passing out. change in skin color. swollen gland. vaginal itching or discharge. diarrhea is common with antibiotics . rarely, a severe form called c diff–associated diarrhea ( cdad ) may happen. sometimes, this has led to a deadly bowel problem ( colitis ). cdad may happen during or a few months after taking antibiotics. call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. check with your doctor before treating diarrhea. raised pressure in the brain has happened with doxy 100 (doxycycline injection). most of the time, this will go back to normal after doxy 100 (doxycycline injection) is stopped. sometimes, loss of eyesight may happen and may not go away even after doxy 100 (doxycycline injection) is stopped. call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. doxy 100 side effects",9.0,5.0,"miscellaneous antimalarials, tetracyclines"
keflex,acne,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. common keflex side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.",7.5,4.0,first generation cephalosporins
sulfamethoxazole / trimethoprim,acne,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. sulfamethoxazole and trimethoprim may cause serious side effects. call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); any skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the iv needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high blood potassium-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or low blood cell counts--fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. common side effects of sulfamethoxazole and trimethoprim may include: nausea, vomiting, loss of appetite; or skin rash.",7.7,193.0,sulfonamides
benzaclin,acne,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. stop using this medicine and call your doctor at once if you have any of these serious side effects: severe redness, burning, stinging, or peeling of treated skin areas; or diarrhea that is watery or bloody. less serious benzaclin side effects may include: mild burning or stinging; itching or tingly feeling; dryness or peeling of treated skin; or redness or other irritation.",8.2,94.0,topical acne agents
monodox,acne,"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: incidence not known blistering, peeling, or loosening of the skin bloating chills clay-colored stools constipation cough dark urine decreased appetite diarrhea diarrhea, watery and severe, which may also be bloody difficulty with swallowing dizziness fast heartbeat feeling of discomfort fever headache hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue hives or welts, itching, or rash increased thirst indigestion inflammation of the joints joint or muscle pain large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of appetite nausea numbness or tingling of the face, hands, or feet pain in the stomach, side, or abdomen, possibly radiating to the back red skin lesions, often with a purple center redness and soreness of the eyes redness of the skin sore throat sores, ulcers, or white spots in the mouth or on the lips stomach cramps stomach pain or tenderness swelling of the feet or lower legs swollen, painful, or tender lymph glands in the neck, armpit, or groin tightness in the chest unusual tiredness or weakness unusual weight loss vomiting yellow eyes or skin some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: incidence not known back, leg, or stomach pains black, tarry stools bleeding gums blood in the urine or stools blurred vision bulging soft spot on the head of an infant change in the ability to see colors, especially blue or yellow chest pain, discomfort, or burning cracks in the skin decrease in vision difficulty breathing discoloration of the thyroid glands double vision general body swelling heartburn increased sensitivity of the skin to sunlight loss of heat from the body lower back or side pain nosebleeds pain or burning in the throat pain with swallowing painful or difficult urination pale skin pinpoint red spots on the skin rash with flat lesions or small raised lesions on the skin red, swollen skin redness or other discoloration of the skin redness, swelling, or soreness of the tongue scaly skin severe nausea severe stomach pain severe sunburn tooth discoloration unusual bleeding or bruising vomiting blood other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. monodox side effects",7.8,32.0,"miscellaneous antimalarials, tetracyclines"
targadox,acne,"warning/caution: even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. chest pain or pressure or a fast heartbeat . not able to pass urine or change in how much urine is passed. fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. throat irritation. trouble swallowing. muscle or joint pain. fast breathing. flushing. very bad dizziness or passing out. change in skin color. swollen gland. vaginal itching or discharge. diarrhea is common with antibiotics . rarely, a severe form called c diff–associated diarrhea ( cdad ) may happen. sometimes, this has led to a deadly bowel problem ( colitis ). cdad may happen during or a few months after taking antibiotics. call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. check with your doctor before treating diarrhea. raised pressure in the brain has happened with targadox (doxycycline tablets and capsules). most of the time, this will go back to normal after targadox (doxycycline tablets and capsules) is stopped. sometimes, loss of eyesight may happen and may not go away even after targadox (doxycycline tablets and capsules) is stopped. call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. targadox side effects",5.0,1.0,unknown
adoxa,acne,"warning/caution: even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. chest pain or pressure or a fast heartbeat . not able to pass urine or change in how much urine is passed. fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. throat irritation. trouble swallowing. muscle or joint pain. fast breathing. flushing. very bad dizziness or passing out. change in skin color. swollen gland. vaginal itching or discharge. diarrhea is common with antibiotics . rarely, a severe form called c diff–associated diarrhea ( cdad ) may happen. sometimes, this has led to a deadly bowel problem ( colitis ). cdad may happen during or a few months after taking antibiotics. call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. check with your doctor before treating diarrhea. raised pressure in the brain has happened with adoxa (doxycycline tablets and capsules). most of the time, this will go back to normal after adoxa (doxycycline tablets and capsules) is stopped. sometimes, loss of eyesight may happen and may not go away even after adoxa (doxycycline tablets and capsules) is stopped. call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. adoxa side effects",8.8,5.0,"miscellaneous antimalarials, tetracyclines"
